"","GSM1625995","GSM1625996","GSM1625997","GSM1625998","GSM1625999","GSM1626000","GSM1626001","GSM1626002","GSM1626003","GSM1626004","GSM1626005","GSM1626006","GSM1626007","GSM1626008","GSM1626009","GSM1626010","GSM1626011","GSM1626012"
"A_23_P38816",10.7526539245919,10.663879518781,10.8106349846528,11.1799558290476,11.2571486095884,11.2003503347605,11.2324633221783,11.3494985740067,11.3232037149239,10.6939512668823,10.6589086575695,10.6347885677927,11.0937376965865,11.2084975371918,11.1878063954516,11.3517231787933,11.2899099593536,11.2044640411931
"A_23_P160354",8.83579145037097,8.72480683511974,8.66689827211056,8.91794919209909,9.10910669421252,9.00351050845752,9.1199468792617,9.11621762039112,9.01833914943865,8.98478515328852,8.76221749055394,8.76249435126334,9.1282541667985,9.20462480416951,8.90388740464645,9.20004941674233,9.09190638506846,9.31388736058939
"A_23_P144622",9.54676114281484,9.52137575384817,9.51162540427421,9.03935297014353,9.14411336679447,8.99686668104998,8.53166103794882,8.49587427573836,8.48684110357879,9.46281318845937,9.49096519430897,9.48172821954777,9.16100556365763,9.00452322100151,9.04716042162524,8.34512263571381,8.20107637526786,8.45397969255761
"A_24_P314351",9.85893612115906,9.82186775684244,9.82910237872738,9.50117501927379,9.61071395499119,9.5834692864336,9.23777123508366,9.216087977266,9.24276813432705,9.69425984672469,9.74673433810025,9.74238060193089,9.60756907706506,9.51191033268108,9.60872493687014,9.2685478687166,9.31762434055993,9.18719889475215
"A_24_P498767",7.89076411520893,7.83304267432009,7.85359370835771,8.36515922857026,8.33092342679476,8.24659491959289,7.87098248752304,7.83222236229787,7.8591705922643,8.12499663822364,7.98047906427574,7.9307608812742,8.28723380516452,8.22340408001562,8.07484304455925,7.98154313440627,7.92409835739014,7.85599822897929
"A_24_P186551",7.57875871405841,7.54722962172407,7.75821146911521,7.71646908355411,7.42134077826415,7.70214503678691,7.63618103026161,7.8220819958337,7.75821146911521,7.66375142129187,7.83930983230168,7.85761640850907,7.95448805928569,7.5811961746939,7.89938115452094,8.20267951952357,8.25767017821316,7.99352423180122
"A_24_P892612",7.92974579757377,7.95770056914886,7.33380206606589,7.36978293123417,7.36608469035658,7.30656257131655,7.47494477490284,7.5204933718207,7.48634528110649,7.82435836147287,7.86949091721241,7.78725528029102,7.84112080425795,7.31220531562222,7.30605618291316,7.25944529514349,7.30662459603178,7.53851057374179
"A_32_P6172",10.0894184156844,9.94439846485409,9.89249021946103,10.1566208647083,10.0549158405568,9.98763869049089,9.6322229525208,9.65412293529351,9.68601748047626,10.0122173995091,10.0100228533084,9.9830057583534,10.2746829545962,10.126077546902,10.306389898188,9.5762256576729,9.47812698502477,9.71260613483466
"A_24_P662086",9.80971441912872,9.78143302198063,9.12583083339687,9.15696768404708,9.24533764515156,9.23276690091092,9.16967329114108,9.3996605497442,9.393901374597,9.6531486287429,9.50736628397368,9.34674538751164,9.56834329140885,8.94687269236107,8.93837230107635,9.27110239605244,9.05816362842056,9.36150915493678
"A_24_P178148",8.07765663895667,8.17418392221525,8.37115100908459,8.27659201780405,8.49172338279152,7.9242633467397,8.23402321390586,8.12922505827533,8.15107037549176,7.84389181374055,7.78121857538351,7.73671805954187,7.84941836053043,8.0426218709563,7.85127963801454,7.96177568703009,7.96098986630157,7.82163920626379
